Sample ID,AP SM 07MPYB3,HB SM CG 1:3,AP SM 07CWEB1,230723XBCG,HB SM CG 3:1,NS CG1 RM,71LW75,NSFW-01RM220620,PBDB RM,ET RM,HGMH3-1(MH),HGMH3-2,RCMB091723,ET MH,70LW1 (Rice's Pit)
Lissodrillia simpsoni,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Longchaeus suturalis,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
Lucinisca cribraria,0,0,0,1,0,0,22,6,0,29,0,0,13,0,0
Macoma arctata,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
Macoma virginiana,0,0,0,0,1,1,7,1,0,0,0,1,1,0,0
Mactrotoma fragilis,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Margaritaria abrupta,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mariacolpus plebeia,0,0,1,0,0,0,0,0,16,0,0,0,0,0,0
Massyla rapella,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Melanella laevigata,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Mercenaria campechiensis,0,0,0,0,0,0,7,1,18,0,0,0,0,0,2
Mercenaria corrugata,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0
Mercenaria druidi,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0
Modiolus gigas,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Modiolus pulchellus,0,12,0,0,683,0,0,0,0,0,0,0,0,0,0
Mulinia congesta,0,0,0,0,0,0,3,7,0,67,0,0,822,0,0
Mulinia lateralis,2,0,0,6,0,0,0,0,5,0,0,0,453,0,0
Nassarina glypta,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Nassarius quadrulatus,0,0,0,0,0,0,7,1,1,11,0,1,4,24,26
Neoterebra dislocata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Neverita duplicata,0,0,0,0,0,0,0,0,0,35,0,0,0,33,0
Noetia incile,0,0,0,0,0,26,37,14,7,30,0,2,0,10,0
Noetia limula,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Nucula proxima,0,1,0,0,0,6,1,0,0,2,17,35,4,20,4
Nuculana acuta,0,2,0,0,4,0,0,0,0,0,0,0,0,18,55
Oliva canaliculata,0,0,0,0,0,2,0,0,0,0,0,0,3,0,54
Olivella carolinae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ostrea compressirostra,15,1,5,29,49,0,8,3,0,6,34,29,3,21,6
Ostrea sculpturata,0,4,0,1,0,0,12,23,0,38,33,42,3,2,1
Pandora tuomeyi,0,0,0,0,0,0,0,0,0,0,1,1,1,166,0
Panopea goldfussii,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
Panopea reflexa,0,0,0,0,0,0,7,0,0,0,0,0,0,1,1
Parvilucina crenella,0,0,0,0,0,0,0,0,0,0,0,0,915,0,1
Parvilucina crenulata,2,3,24,0,31,0,19,1,0,0,0,0,0,4,0
Peristernia filicata,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Petaloconchus sculpturatus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pitar sayana,0,0,0,6,0,0,7,2,0,4,2,0,143,0,62
Placopecten clintonius,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Placopecten decemnarius,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Planicardium taenopleura,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Pleiorytis centenaria,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Plicatula gibbosa,0,3,0,2,0,0,11,3,0,3,0,0,1,11,1
Polygona angulata,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Prunum bellum,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0
Pseudotorinia nupera,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
Pterorytis umbrifer,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
Ptychosalpinx altilis,0,0,0,0,1,0,4,2,0,2,0,0,0,0,1
Ptychosalpinx chesapeakensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Ptychosalpinx laqueata,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0
Ptychosalpinx tuomeyi,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0
Retusa microtrema,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Scalaspira strumosa,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2
Sedilia bella,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18
Seila adamsii,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0
Semele alumensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
Semele subovata,0,0,0,0,0,0,0,0,0,0,3,16,9,0,0
Semelina nuculoides,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
Serratina aequistriata,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0
Sinum chesapeakensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Solariella olssoni,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0
Solariella ricei,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14
Sphenia dubia,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Spisula confraga,0,1,169,66,6,0,1,0,0,3,0,0,0,169,2
Spisula delumbis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Spisula modicella,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Splendrillia arata,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
Stewartia anodonta,0,0,5,7,14,0,0,0,3,0,0,0,0,0,0
Stralopecten rogersii,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
Striarca centenaria,0,8,2,0,0,49,0,0,1,1,0,1,0,25,0
Tagelus plebeius,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Terebra emmonsi,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
Terebra grayi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
Teredina fistula,0,0,0,14,0,0,6,0,0,1,1,0,0,1,0
Thracia magna,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Thylacodes granifera,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
Tortifusus curvirostra,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trigonostoma perspectiva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Turbonilla beta,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Turritella alticostata,0,4,0,1,73,0,7,7,0,0,1,2,9,0,8
Turritella bipertita,0,1,0,1,24,0,5,0,0,68,0,0,0,0,8
Turritella fluxionalis,0,0,0,0,0,0,0,1,0,0,0,2,5,0,6
Turritella pilsbryi,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0
Turritella virginica,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Urosalpinx gardnerae,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Urosalpinx lepidota,0,0,0,2,5,0,14,4,0,69,2,0,0,0,5
Urosalpinx trossula,0,0,0,0,0,0,13,0,0,18,0,0,0,0,0
Vexillum elaboratum,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
Volutifusus mutabilis,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
Volvulella cylindra,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Yoldia laevis,0,0,0,0,0,1,5,2,0,0,2,4,340,0,32
